ID,Aboard Ing Address,Aboard Ing Lat,Aboard Ing Lng,Approaching At,Arriving At,Charge ID,Created At,Deleted At,Destination,Destination Lat,Destination Lng,Done At,Driving At,Is Notified Before Pick Up,Label,Manager ID,Order Able ID,Order Able Type,Pick Up At,Reservation Number,Updated At
31,沖縄県浦添市内間2-7-7,26.2366518,127.7066157,,,,2020-01-17T09:33:06Z,2020-01-17T09:33:48Z,浦添市伊祖,,,,,false,代行予約,,31,App\Entities\Supporter,,3,2020-01-17T09:33:48Z
32,沖縄県那覇市松山1-7-3 呉マンション1-A,26.2171801,127.6788385,,,,2020-01-17T11:19:10Z,2020-01-17T11:20:14Z,豊見城,,,,,false,代行予約,,23,App\Entities\Supporter,,1,2020-01-17T11:20:14Z
33,那覇市銘苅2-5-28,26.2318668,127.6990896,,,,2020-01-17T11:54:36Z,2020-01-17T11:56:38Z,,,,,,false,代行予約,,32,App\Entities\Supporter,,1,2020-01-17T11:56:38Z
34,沖縄市高原7丁目9-3コーポタカラ201,26.3217802,127.8231611,,,2,2020-01-17T12:43:34Z,,沖縄市高原,,,2020-01-17T13:12:25Z,2020-01-17T13:11:52Z,true,3,6,38,App\Entities\Supporter,2020-01-17T13:00:50Z,1,2020-02-03T03:53:17Z
35,沖縄市高原7丁目9-3コーポタカラ201,26.3217802,127.8231611,,,,2020-01-17T12:48:18Z,2020-01-17T15:31:21Z,福耳福助泡瀬,,,,,false,ひが,,38,App\Entities\Supporter,,2,2020-01-17T12:48:18Z
36,沖縄県浦添市当山2-9-3,26.2486414,127.7377316,,,,2020-01-17T13:55:36Z,2020-01-17T14:29:21Z,西原,,,,,false,C3,,13,App\Entities\Supporter,,4,2020-01-17T14:29:21Z
37,沖縄県浦添市内間2-7-7,26.2366518,127.7066157,,,,2020-01-17T14:22:08Z,2020-01-17T14:30:01Z,,,,,,false,代行予約,,31,App\Entities\Supporter,,4,2020-01-17T14:30:01Z
38,沖縄県浦添市当山2-9-3,26.2486414,127.7377316,,,,2020-01-17T14:29:35Z,2020-01-17T14:42:27Z,西原,,,,,false,代行予約,,13,App\Entities\Supporter,,5,2020-01-17T14:42:27Z
39,沖縄県那覇市赤嶺2-4-1當間ビル1F,26.1937975,127.6618104,,,,2020-01-17T15:28:32Z,2020-01-17T15:29:47Z,,,,,,false,代行予約,,1,App\Entities\Supporter,,3,2020-01-17T15:29:47Z
40,沖縄県那覇市赤嶺2-4-1當間ビル1F,26.1937975,127.6618104,,,,2020-01-17T15:28:32Z,2020-01-17T15:29:49Z,,,,,,false,代行予約,,1,App\Entities\Supporter,,3,2020-01-17T15:29:49Z
41,沖縄県沖縄市胡屋４丁目１番１４号,26.3320371,127.7989692,,,,2020-01-17T23:50:58Z,2020-01-17T23:51:25Z,,,,,,false,代行予約,,0,App\Entities\Supporter,,8,2020-01-17T23:51:25Z
42,沖縄県中頭郡北谷町港8-2,26.3223445,127.7494494,,,,2020-01-18T12:39:05Z,2020-01-18T12:41:08Z,嘉手納,,,,,false,代行予約,,43,App\Entities\Supporter,,1,2020-01-18T12:41:08Z
43,沖縄県浦添市内間5-4-6,26.2389806,127.6994892,,,,2020-01-18T13:38:16Z,2020-01-18T14:03:32Z,琉球大学,,,,,false,代行予約,,40,App\Entities\Supporter,,1,2020-01-18T14:03:32Z
44,沖縄県浦添市内間5-4-6,26.2389806,127.6994892,,,,2020-01-18T14:03:59Z,2020-01-18T14:15:50Z,琉球大学,,,,,false,代行予約,,40,App\Entities\Supporter,,2,2020-01-18T14:15:50Z
45,沖縄県浦添市内間5-4-6,26.2389806,127.6994892,,,3,2020-01-18T14:16:04Z,,琉球大学,,,2020-01-18T14:54:18Z,2020-01-18T14:35:32Z,true,代行予約,2,40,App\Entities\Supporter,2020-01-18T14:30:41Z,3,2020-02-03T03:53:17Z
46,沖縄県浦添市内間2-7-7,26.2366518,127.7066157,,,,2020-01-19T09:53:45Z,2020-01-19T11:38:15Z,,,,,,true,代行予約,18,31,App\Entities\Supporter,2020-01-19T11:34:41Z,5,2020-01-19T11:38:15Z
47,那覇市繁多川,26.2116209,127.7118061,,,,2020-01-19T11:42:36Z,2020-01-19T11:43:53Z,那覇市首里,,,,,false,代行予約,,56,App\Entities\Supporter,,1,2020-01-19T11:43:53Z
48,沖縄県中頭郡嘉手納町嘉手納485,26.3620871,127.75399,,,,2020-01-19T12:56:14Z,2020-01-19T13:01:26Z,沖縄市,,,,,false,代行予約,,41,App\Entities\Supporter,,1,2020-01-19T13:01:26Z
49,沖縄市諸見里1-1-24,26.3304006,127.7948931,,,,2020-01-19T13:16:36Z,2020-01-19T13:54:23Z,沖縄市,,,,,false,代行予約,,57,App\Entities\Supporter,,1,2020-01-19T13:54:23Z
50,沖縄市諸見里1-1-24,26.3304006,127.7948931,,,,2020-01-19T13:54:43Z,2020-01-19T14:05:34Z,,,,,,false,代行予約,,57,App\Entities\Supporter,,2,2020-01-19T14:05:34Z
51,沖縄県浦添市内間2-7-7,26.2366518,127.7066157,,,,2020-01-19T21:25:46Z,2020-01-19T22:06:22Z,与那原,,,,,false,代行予約,,31,App\Entities\Supporter,,6,2020-01-19T22:06:22Z
52,沖縄県浦添市内間2-7-7,26.2366518,127.7066157,,,,2020-01-19T21:26:30Z,2020-01-19T21:27:46Z,与那原,,,,,false,代行予約,,31,App\Entities\Supporter,,7,2020-01-19T21:27:46Z
53,"沖縄県那覇市久米1-1-21
オレンジビル2F",26.2142227,127.6753961,,,,2020-01-20T14:10:54Z,2020-01-20T14:24:59Z,ひがわ,,,,,false,ラウンジ 花花,18,22,App\Entities\Supporter,2020-01-20T14:34:09Z,1,2020-01-20T14:24:59Z
54,"沖縄県那覇市久米1-1-21
オレンジビル2F",26.2142227,127.6753961,,,4,2020-01-20T14:57:17Z,,ひがわ,,,2020-01-20T15:25:44Z,2020-01-20T15:17:01Z,true,ラウンジ 花花,18,22,App\Entities\Supporter,2020-01-20T15:13:26Z,2,2020-02-03T03:53:17Z
55,沖縄県浦添市内間5-4-6,26.2389806,127.6994892,,,,2020-01-23T12:09:34Z,2020-01-23T12:11:11Z,指定なし,,,,,false,代行予約,,40,App\Entities\Supporter,,4,2020-01-23T12:11:11Z
56,沖縄県浦添市内間5-4-6,26.2389806,127.6994892,,,,2020-01-23T12:35:21Z,2020-01-23T12:36:29Z,指定なし,,,,,false,代行予約,,40,App\Entities\Supporter,,5,2020-01-23T12:36:29Z
57,沖縄県沖縄市泡瀬5-2-1,26.3215499,127.8317242,,,,2020-01-24T06:47:46Z,2020-01-24T06:47:58Z,指定なし,,,,,false,代行予約,,72,App\Entities\Supporter,,1,2020-01-24T06:47:58Z
58,沖縄県那覇市銘苅2-4-35 アーバンプラネットビル2階,26.2309204,127.7000293,,,,2020-01-24T06:49:52Z,2020-02-06T08:29:03Z,指定なし,,,,,false,代行予約,,71,App\Entities\Supporter,,1,2020-02-06T08:29:03Z
59,沖縄県那覇市銘苅2-4-35 アーバンプラネットビル2階,26.2309204,127.7000293,,,,2020-01-24T06:49:52Z,2020-02-06T08:29:03Z,指定なし,,,,,false,代行予約,,71,App\Entities\Supporter,,1,2020-02-06T08:29:03Z
60,沖縄県中頭郡読谷村楚辺1196,26.3850551,127.7401318,,,,2020-01-24T09:24:07Z,2020-01-24T09:49:33Z,,,,,,false,代行予約,,74,App\Entities\Supporter,,1,2020-01-24T09:49:33Z
61,沖縄県中頭郡嘉手納町嘉手納485,26.3620871,127.75399,,,,2020-01-24T12:32:15Z,2020-02-01T12:36:30Z,沖縄市,,,,,false,代行予約,,41,App\Entities\Supporter,,2,2020-02-01T12:36:30Z
62,"沖縄県那覇市久米1-1-21
オレンジビル2F",26.2142227,127.6753961,,,,2020-01-24T14:14:59Z,2020-01-24T14:23:10Z,南風原 かねぐすく,,,,,false,ラウンジ 花花,,22,App\Entities\Supporter,,3,2020-01-24T14:23:10Z
63,"沖縄県那覇市壺屋
1-1-14  1F",26.2122078,127.6894347,,,,2020-01-24T16:03:52Z,2020-01-24T16:20:18Z,小禄高良,,,,,false,代行予約,,66,App\Entities\Supporter,,1,2020-01-24T16:20:18Z
64,"沖縄県宜野湾市真志喜3-28-8
（ROUND1宜野湾店1F)",26.2759889,127.7308213,,,,2020-01-25T12:40:58Z,2020-01-25T12:48:10Z,,,,,,false,ソトナベ,,27,App\Entities\Supporter,,1,2020-01-25T12:48:10Z
65,"沖縄県宜野湾市真志喜3-28-8
（ROUND1宜野湾店1F)",26.2759889,127.7308213,,,,2020-01-25T12:40:58Z,2020-01-25T12:48:51Z,,,,,,false,ソトナベ,2,27,App\Entities\Supporter,2020-01-25T13:07:22Z,1,2020-01-25T12:48:51Z
66,"山梨県甲府市大里町2620-1
サンシャイン大里305号",35.6203273,138.5681734,,,,2020-01-25T13:17:35Z,2020-01-25T13:19:17Z,城南中学校,,,,,false,破延浩貴,,76,App\Entities\Supporter,,1,2020-01-25T13:19:17Z
67,沖縄県沖縄市泡瀬5-2-1,26.3215499,127.8317242,,,,2020-01-25T13:24:10Z,2020-01-25T13:28:57Z,指定なし,,,,,false,代行予約,,73,App\Entities\Supporter,,1,2020-01-25T13:28:57Z
68,沖縄県沖縄市泡瀬5-2-1,26.3215499,127.8317242,,,,2020-01-25T13:24:10Z,2020-01-25T13:29:00Z,指定なし,,,,,false,代行予約,,73,App\Entities\Supporter,,1,2020-01-25T13:29:00Z
69,沖縄県沖縄市泡瀬5-2-1,26.3215499,127.8317242,,,,2020-01-25T13:24:10Z,2020-01-25T13:29:06Z,指定なし,,,,,false,代行予約,,73,App\Entities\Supporter,,1,2020-01-25T13:29:06Z
70,沖縄市諸見里1-1-24,26.3304006,127.7948931,,,,2020-01-25T13:47:31Z,2020-01-25T14:43:26Z,沖縄市,,,,,false,代行予約,,57,App\Entities\Supporter,,3,2020-01-25T14:43:26Z
71,沖縄県沖縄市胡屋４丁目１番１４号,26.3320371,127.7989692,,,,2020-01-27T04:09:35Z,2020-01-27T04:11:40Z,,,,,,false,テスト,,0,App\Entities\Supporter,,9,2020-01-27T04:11:40Z
72,沖縄県那覇市安里,26.2207034,127.6965187,,,,2020-01-27T04:20:21Z,2020-01-27T04:20:40Z,,,,,,false,てすと,,78,App\Entities\Supporter,,1,2020-01-27T04:20:40Z
73,沖縄県那覇市安里,26.2207034,127.6965187,,,,2020-01-27T04:53:52Z,2020-01-27T04:59:21Z,,,,,2020-01-27T04:54:51Z,true,テスト,27,78,App\Entities\Supporter,2020-01-27T04:57:47Z,2,2020-01-27T04:59:21Z
74,沖縄県うるま市赤道18-7,26.3572395,127.8360987,,,,2020-01-27T07:50:02Z,2020-01-27T07:50:18Z,石川,,,,,false,代行予約,,80,App\Entities\Supporter,,1,2020-01-27T07:50:18Z
75,沖縄県うるま市赤道18-7,26.3572395,127.8360987,,,,2020-01-27T07:50:52Z,2020-01-27T07:51:17Z,指定なし,,,,,false,代行予約,,80,App\Entities\Supporter,,2,2020-01-27T07:51:17Z
76,沖縄県中頭郡北谷町港8-2,26.3223445,127.7494494,,,,2020-01-27T08:51:00Z,2020-01-27T10:13:36Z,嘉手納,,,,,false,代行予約,,43,App\Entities\Supporter,,2,2020-01-27T10:13:36Z
77,沖縄県中頭郡北谷町港8-2,26.3223445,127.7494494,,,,2020-01-27T08:51:00Z,2020-01-27T10:13:43Z,読谷,,,,,false,代行予約,,43,App\Entities\Supporter,,2,2020-01-27T10:13:43Z
78,沖縄県中頭郡西原町幸地580番地 ひまわり会館2F,26.2377733,127.7393399,,,5,2020-01-27T16:31:31Z,,那覇　久茂地　坂梨,,,2020-01-27T17:31:02Z,2020-01-27T16:53:16Z,true,代行予約,18,63,App\Entities\Supporter,2020-01-27T16:40:26Z,1,2020-02-03T03:53:17Z
79,沖縄県沖縄市泡瀬,26.3188891,127.8326572,,,,2020-01-28T06:25:54Z,2020-01-28T06:26:02Z,うるま市,,,,,false,代行予約,,81,App\Entities\Supporter,,1,2020-01-28T06:26:02Z
80,沖縄市美里仲原1－12,26.349296,127.8256277,,,,2020-01-28T09:03:43Z,2020-01-28T09:04:08Z,コザ,,,,,false,12,,83,App\Entities\Supporter,,1,2020-01-28T09:04:08Z
81,沖縄市美里仲原1－12,26.349296,127.8256277,,,,2020-01-28T09:03:43Z,2020-01-28T09:04:05Z,,,,,,false,12,,83,App\Entities\Supporter,,1,2020-01-28T09:04:05Z
82,沖縄県宜野湾市普天間2-48-13,26.2909913,127.7764703,,,,2020-01-28T10:44:27Z,2020-01-28T10:44:45Z,宜野湾市長田,,,,,false,代行予約,,85,App\Entities\Supporter,,1,2020-01-28T10:44:45Z
83,沖縄県沖縄市中央3丁目13番15号,26.338292,127.8015205,,,,2020-01-28T12:20:09Z,2020-01-28T12:20:52Z,那覇市松山,,,,,false,テーブル4,,14,App\Entities\Supporter,,5,2020-01-28T12:20:52Z
84,沖縄県沖縄市中央3丁目13番15号,26.338292,127.8015205,,,,2020-01-28T12:21:11Z,2020-01-28T12:22:17Z,那覇市松山,,,,,false,テーブル4,,14,App\Entities\Supporter,,6,2020-01-28T12:22:17Z
85,沖縄県中頭郡西原町翁長566-5,26.2395625,127.7445419,,,,2020-01-28T14:13:47Z,2020-01-28T14:19:33Z,西原小波津,,,,,false,代行予約,,86,App\Entities\Supporter,,1,2020-01-28T14:19:33Z
86,沖縄県中頭郡西原町翁長566-5,26.2395625,127.7445419,,,,2020-01-28T14:22:23Z,2020-01-28T14:27:02Z,西原小波津,,,,,false,代行予約,,86,App\Entities\Supporter,,2,2020-01-28T14:27:02Z
87,"東京都千代田区神田佐久間町1-8-4
ニュー千代田ビル3F",35.6973075,139.7734841,,,,2020-01-28T14:38:20Z,2020-01-28T14:38:33Z,指定なし,,,,,false,代行予約,,82,App\Entities\Supporter,,1,2020-01-28T14:38:33Z
88,"東京都千代田区神田佐久間町1-8-4
ニュー千代田ビル3F",35.6973075,139.7734841,,,,2020-01-28T14:43:03Z,2020-01-28T15:25:17Z,指定なし,,,,,false,ハセガワシロウ,,82,App\Entities\Supporter,,2,2020-01-28T15:25:17Z
89,神奈川県川崎市宮前区南平台10-22-305,35.5928192,139.5668661,,,,2020-01-28T17:17:59Z,2020-02-06T08:29:03Z,神奈川県川崎市宮前区南平台10-22,,,,,false,代行予約,,70,App\Entities\Supporter,,1,2020-02-06T08:29:03Z
90,沖縄県沖縄市比屋根2-13-1,26.31456,127.8246333,,,,2020-01-28T19:19:29Z,2020-01-29T10:43:33Z,中城,,,,,false,代行予約,,84,App\Entities\Supporter,,1,2020-01-29T10:43:33Z
91,沖縄市美里仲原1－12,26.349296,127.8256277,,,6,2020-01-29T12:32:01Z,,かまはら,,,2020-01-29T12:58:38Z,2020-01-29T12:50:06Z,true,代行予約,10,83,App\Entities\Supporter,2020-01-29T12:45:56Z,2,2020-02-03T21:00:01Z
92,沖縄県中頭郡北谷町港8-2,26.3223445,127.7494494,,,,2020-01-29T13:16:30Z,2020-01-29T13:16:56Z,指定なし,,,,,false,代行予約,,43,App\Entities\Supporter,,3,2020-01-29T13:16:56Z
93,沖縄県中頭郡北谷町港8-2,26.3223445,127.7494494,,,,2020-01-29T13:17:13Z,2020-01-29T13:20:10Z,読谷,,,,,false,代行予約,,43,App\Entities\Supporter,,4,2020-01-29T13:20:10Z
94,沖縄県那覇市与儀,26.2055837,127.6925302,,,,2020-01-30T08:30:32Z,2020-01-30T08:30:46Z,指定なし,,,,,false,Test,,26,App\Entities\Supporter,,1,2020-01-30T08:30:46Z
95,沖縄県那覇市首里当蔵町1-10パラサイドヴィラ1階,26.2204551,127.719054,,,,2020-01-30T13:58:38Z,2020-01-30T14:03:05Z,浦添安波茶,,,,,false,代行予約,,7,App\Entities\Supporter,,1,2020-01-30T14:03:05Z
96,沖縄市美里仲原1－12,26.349296,127.8256277,,,,2020-01-30T15:15:56Z,2020-01-30T15:16:07Z,コザ,,,,,false,代行予約,,83,App\Entities\Supporter,,3,2020-01-30T15:16:07Z
97,沖縄市美里仲原1－12,26.349296,127.8256277,,,,2020-01-30T15:30:05Z,2020-01-30T15:30:16Z,コザ,,,,,false,代行予約,,83,App\Entities\Supporter,,4,2020-01-30T15:30:16Z
98,沖縄市美里仲原1－12,26.349296,127.8256277,,,,2020-01-31T11:53:02Z,2020-01-31T11:55:45Z,西原,,,,,false,代行予約,10,83,App\Entities\Supporter,2020-01-31T12:14:33Z,5,2020-01-31T11:55:45Z
99,沖縄市美里仲原1－12,26.349296,127.8256277,,,,2020-01-31T12:00:03Z,2020-01-31T12:05:24Z,与那原,,,,,false,13,,83,App\Entities\Supporter,,6,2020-01-31T12:05:24Z
100,沖縄市美里仲原1－12,26.349296,127.8256277,,,6,2020-01-31T12:00:03Z,,那覇,,,2020-01-31T13:14:35Z,2020-01-31T12:30:14Z,true,13,10,83,App\Entities\Supporter,2020-01-31T12:16:35Z,6,2020-02-03T21:00:01Z
101,茨城県つくば市研究学園,36.0838799,140.08168,,,,2020-01-31T22:04:23Z,2020-01-31T22:04:55Z,指定なし,,,,,false,代行予約,,90,App\Entities\Supporter,,1,2020-01-31T22:04:55Z
102,茨城県つくば市研究学園,36.0838799,140.08168,,,,2020-02-01T10:46:28Z,2020-02-01T10:47:04Z,指定なし,,,,,false,代行予約,,90,App\Entities\Supporter,,2,2020-02-01T10:47:04Z
103,沖縄県中頭郡嘉手納町嘉手納485,26.3620871,127.75399,,,6,2020-02-01T12:31:30Z,,沖縄市,,,2020-02-01T13:28:33Z,2020-02-01T13:28:27Z,true,代行予約,10,41,App\Entities\Supporter,2020-02-01T12:50:15Z,3,2020-02-03T21:00:01Z
104,沖縄県沖縄市上地2-9-11 1F,26.3316193,127.7966289,,,,2020-02-01T12:41:53Z,2020-02-01T12:43:26Z,メインシティー,,,,,false,酒膳　円,,87,App\Entities\Supporter,,1,2020-02-01T12:43:26Z
105,沖縄市美里仲原1－12,26.349296,127.8256277,,,,2020-02-01T13:41:04Z,2020-02-01T13:43:33Z,知花,,,,,false,代行予約,,83,App\Entities\Supporter,,7,2020-02-01T13:43:33Z
106,沖縄市美里仲原1－12,26.349296,127.8256277,,,6,2020-02-01T14:21:18Z,,みどり町,,,2020-02-01T14:55:59Z,2020-02-01T14:55:51Z,true,代行予約,10,83,App\Entities\Supporter,2020-02-01T14:45:05Z,8,2020-02-03T21:00:01Z
107,"沖縄県那覇市おもろまち2-6-11
フロンティアビル南ウィング 2F",26.224792,127.691944,,,,2020-02-01T22:12:35Z,2020-02-01T22:13:15Z,宜野湾市宜野湾,,,,,false,Oshiro,,91,App\Entities\Supporter,,1,2020-02-01T22:13:15Z
108,"沖縄県那覇市おもろまち2-6-11
フロンティアビル南ウィング 2F",26.224792,127.691944,,,,2020-02-02T11:10:48Z,2020-02-02T11:11:46Z,宜野湾市前原,,,,,false,又吉,,91,App\Entities\Supporter,,2,2020-02-02T11:11:46Z
109,沖縄市美里仲原1－12,26.349296,127.8256277,,,,2020-02-02T11:19:10Z,2020-02-02T11:21:00Z,みどり町,,,,,false,代行予約,,83,App\Entities\Supporter,,9,2020-02-02T11:21:00Z
110,沖縄市美里仲原1－12,26.349296,127.8256277,,,,2020-02-02T11:31:52Z,2020-02-02T11:34:09Z,山内,,,,,false,代行予約,,83,App\Entities\Supporter,,10,2020-02-02T11:34:09Z
111,沖縄県中頭郡嘉手納町嘉手納485,26.3620871,127.75399,,,,2020-02-02T12:31:26Z,2020-02-02T12:36:29Z,沖縄市,,,,,false,代行予約,,41,App\Entities\Supporter,,4,2020-02-02T12:36:29Z
112,沖縄県中頭郡嘉手納町嘉手納485,26.3620871,127.75399,,,,2020-02-02T12:33:39Z,2020-02-02T12:34:54Z,沖縄市,,,,,false,代行予約,,41,App\Entities\Supporter,,5,2020-02-02T12:34:54Z
113,沖縄県浦添市港川2-27-2 1F,26.2653642,127.7164478,,,,2020-02-04T08:37:29Z,2020-02-04T08:37:39Z,指定なし,,,,,false,代行予約,,64,App\Entities\Supporter,,1,2020-02-04T08:37:39Z
114,沖縄市美里仲原1－12,26.349296,127.8256277,,,,2020-02-04T12:22:49Z,2020-02-04T12:25:07Z,古謝,,,,,false,代行予約,,83,App\Entities\Supporter,,11,2020-02-04T12:25:07Z
115,沖縄市美里仲原1－12,26.349296,127.8256277,,,,2020-02-04T12:22:49Z,2020-02-04T12:25:04Z,美浜,,,,,false,代行予約,,83,App\Entities\Supporter,,11,2020-02-04T12:25:04Z
116,沖縄県中頭郡嘉手納町嘉手納485,26.3620871,127.75399,,,,2020-02-04T12:49:48Z,2020-02-04T12:52:15Z,嘉手納,,,,,false,代行予約,,41,App\Entities\Supporter,,6,2020-02-04T12:52:15Z
